zone_id,zone_name,source_geography,is_estimate,project_capacity_weight,allocation_share,crime_category,crime_metric,district_reported_crime_count,estimated_zone_crime_count,allocation_method
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),a) Women (18 Years and Above),55,9,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Assault on Women with intent to outrage her Modesty (Sec 74 BNS/Sec.354 IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,19,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,10,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,8,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,15,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,6,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),Sexual Harassment (Total a+b),69,11,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,19,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,10,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,8,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,15,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,6,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),a) Women (18 Years and Above),69,11,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
2,Ram Ghat,Ujjain district,TRUE,50,0.138889,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
3,Kshipra Bridge,Ujjain district,TRUE,40,0.111111,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
4,Harsiddhi Mandir,Ujjain district,TRUE,80,0.222222,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
5,Bada Ganesh Mandir,Ujjain district,TRUE,30,0.083333,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
6,Kal Bhairav Mandir,Ujjain district,TRUE,60,0.166667,Sexual Harassment (Sec. 75 BNS/Sec.354A IPC),b) Girls (Below 18 Years),0,0,project-capacity-weighted largest-remainder estimate
1,Mahakaleshwar Mandir,Ujjain district,TRUE,100,0.277778,Assault or Use of Criminal Force with intent to disrobe (Sec. 76 BNS/Sec. 354B IPC),Assault or Use of Criminal Force with intent to disrobe (Total a+b),4,1,project-capacity-weighted largest-remainder estimate
